# Recipe Format - Auto-generated from G-code
# X,Z,F,CMD
# CMD: 0=G0(Rapid), 1=G1(Linear), 10=ToolChange, 99=End
#
X,Z,F,CMD
# --- Guvenli Z ---
0.000,-150.000,0,0
# --- Guvenli X ---
300.000,-150.000,0,0
# --- Tool Change ---
162.505,128.691,300,1
162.333,129.808,300,1
162.181,130.912,300,1
162.052,132.004,300,1
161.944,133.082,300,1
161.859,134.144,300,1
161.798,135.191,300,1
161.762,136.221,300,1
161.750,137.233,300,1
161.764,138.226,300,1
161.805,139.200,300,1
161.872,140.153,300,1
161.967,141.085,300,1
162.091,141.994,300,1
162.244,142.879,300,1
162.427,143.740,300,1
162.640,144.576,300,1
162.885,145.385,300,1
163.161,146.167,300,1
163.470,146.921,300,1
163.812,147.645,300,1
164.188,148.340,300,1
164.599,149.003,300,1
165.045,149.634,300,1
165.527,150.232,300,1
166.046,150.796,300,1
166.602,151.325,300,1
167.196,151.818,300,1
167.829,152.275,300,1
168.499,152.696,300,1
169.205,153.081,300,1
169.946,153.433,300,1
170.719,153.750,300,1
171.525,154.036,300,1
172.360,154.289,300,1
173.225,154.512,300,1
174.118,154.704,300,1
175.036,154.868,300,1
175.979,155.003,300,1
176.946,155.110,300,1
177.934,155.191,300,1
178.944,155.246,300,1
179.972,155.276,300,1
181.018,155.283,300,1
182.080,155.265,300,1
183.158,155.226,300,1
184.249,155.165,300,1
185.352,155.083,300,1
186.466,154.982,300,1
187.589,154.861,300,1
188.720,154.723,300,1
189.858,154.567,300,1
191.001,154.395,300,1
192.147,154.207,300,1
193.296,154.005,300,1
194.446,153.788,300,1
195.596,153.559,300,1
196.744,153.318,300,1
197.888,153.065,300,1
199.028,152.802,300,1
200.162,152.529,300,1
201.289,152.247,300,1
202.406,151.958,300,1
203.514,151.662,300,1
204.610,151.359,300,1
205.692,151.051,300,1
206.761,150.738,300,1
207.813,150.422,300,1
208.848,150.103,300,1
209.865,149.783,300,1
210.862,149.461,300,1
211.837,149.139,300,1
# --- Retract ---
261.837,99.139,0,0
176.837,112.153,0,0
176.370,113.068,300,1
175.898,114.006,300,1
175.424,114.964,300,1
174.947,115.944,300,1
174.468,116.942,300,1
173.989,117.959,300,1
173.509,118.994,300,1
173.029,120.045,300,1
172.550,121.111,300,1
172.073,122.193,300,1
171.598,123.288,300,1
171.127,124.395,300,1
170.659,125.515,300,1
170.195,126.646,300,1
169.737,127.786,300,1
169.284,128.935,300,1
168.838,130.092,300,1
168.399,131.257,300,1
167.968,132.427,300,1
167.545,133.602,300,1
167.132,134.782,300,1
166.728,135.965,300,1
166.335,137.150,300,1
165.954,138.336,300,1
165.584,139.523,300,1
165.227,140.709,300,1
164.884,141.894,300,1
164.554,143.076,300,1
164.239,144.255,300,1
163.940,145.429,300,1
163.656,146.598,300,1
163.390,147.760,300,1
163.141,148.915,300,1
162.910,150.062,300,1
162.698,151.200,300,1
162.505,152.328,300,1
162.333,153.444,300,1
162.181,154.549,300,1
162.052,155.640,300,1
161.944,156.718,300,1
161.859,157.780,300,1
161.798,158.827,300,1
161.762,159.857,300,1
161.750,160.869,300,1
161.764,161.863,300,1
161.805,162.837,300,1
161.872,163.790,300,1
161.967,164.721,300,1
162.091,165.630,300,1
162.244,166.516,300,1
162.427,167.377,300,1
162.640,168.212,300,1
162.885,169.022,300,1
163.161,169.804,300,1
163.470,170.557,300,1
163.812,171.282,300,1
164.188,171.976,300,1
164.599,172.639,300,1
165.045,173.270,300,1
165.527,173.868,300,1
166.046,174.433,300,1
166.602,174.962,300,1
167.196,175.455,300,1
167.829,175.912,300,1
168.499,176.332,300,1
169.205,176.718,300,1
169.946,177.069,300,1
170.719,177.387,300,1
171.525,177.672,300,1
172.360,177.925,300,1
173.225,178.148,300,1
174.118,178.341,300,1
175.036,178.504,300,1
175.979,178.639,300,1
176.946,178.746,300,1
177.934,178.827,300,1
178.944,178.883,300,1
179.972,178.913,300,1
181.018,178.919,300,1
182.080,178.902,300,1
183.158,178.862,300,1
184.249,178.801,300,1
185.352,178.720,300,1
186.466,178.618,300,1
187.589,178.498,300,1
188.720,178.359,300,1
189.858,178.204,300,1
191.001,178.031,300,1
192.147,177.844,300,1
193.296,177.641,300,1
194.446,177.425,300,1
195.596,177.196,300,1
196.744,176.954,300,1
197.888,176.701,300,1
199.028,176.438,300,1
200.162,176.165,300,1
201.289,175.884,300,1
202.406,175.594,300,1
203.514,175.298,300,1
204.610,174.995,300,1
205.692,174.687,300,1
206.761,174.375,300,1
207.813,174.059,300,1
208.848,173.740,300,1
209.865,173.419,300,1
210.862,173.097,300,1
211.837,172.775,300,1
# --- Retract ---
261.837,122.775,0,0
176.837,135.790,0,0
176.370,136.705,300,1
175.898,137.642,300,1
175.424,138.601,300,1
174.947,139.580,300,1
174.468,140.578,300,1
173.989,141.595,300,1
173.509,142.630,300,1
173.029,143.681,300,1
172.550,144.748,300,1
172.073,145.829,300,1
171.598,146.924,300,1
171.127,148.032,300,1
170.659,149.151,300,1
170.195,150.282,300,1
169.737,151.422,300,1
169.284,152.571,300,1
168.838,153.729,300,1
168.399,154.893,300,1
167.968,156.063,300,1
167.545,157.239,300,1
167.132,158.418,300,1
166.728,159.601,300,1
166.335,160.786,300,1
165.954,161.973,300,1
165.584,163.160,300,1
165.227,164.346,300,1
164.884,165.530,300,1
164.554,166.712,300,1
164.239,167.891,300,1
163.940,169.065,300,1
163.656,170.234,300,1
163.390,171.397,300,1
163.141,172.552,300,1
162.910,173.699,300,1
162.698,174.836,300,1
162.505,175.964,300,1
162.333,177.081,300,1
162.181,178.185,300,1
162.052,179.277,300,1
161.944,180.354,300,1
161.859,181.417,300,1
161.798,182.464,300,1
161.762,183.494,300,1
161.750,184.506,300,1
161.764,185.499,300,1
161.805,186.473,300,1
161.872,187.426,300,1
161.967,188.358,300,1
162.091,189.267,300,1
162.244,190.152,300,1
162.427,191.013,300,1
162.640,191.849,300,1
162.885,192.658,300,1
163.161,193.440,300,1
163.470,194.194,300,1
163.812,194.918,300,1
164.188,195.612,300,1
164.599,196.276,300,1
165.045,196.907,300,1
165.527,197.505,300,1
166.046,198.069,300,1
166.602,198.598,300,1
167.196,199.091,300,1
167.829,199.548,300,1
168.499,199.969,300,1
169.205,200.354,300,1
169.946,200.705,300,1
170.719,201.023,300,1
171.525,201.308,300,1
172.360,201.562,300,1
173.225,201.784,300,1
174.118,201.977,300,1
175.036,202.140,300,1
175.979,202.275,300,1
176.946,202.383,300,1
177.934,202.464,300,1
178.944,202.519,300,1
179.972,202.549,300,1
181.018,202.555,300,1
182.080,202.538,300,1
183.158,202.499,300,1
184.249,202.438,300,1
185.352,202.356,300,1
186.466,202.255,300,1
187.589,202.134,300,1
188.720,201.996,300,1
189.858,201.840,300,1
191.001,201.668,300,1
192.147,201.480,300,1
193.296,201.278,300,1
194.446,201.061,300,1
195.596,200.832,300,1
196.744,200.590,300,1
197.888,200.338,300,1
199.028,200.074,300,1
200.162,199.802,300,1
201.289,199.520,300,1
202.406,199.231,300,1
203.514,198.934,300,1
204.610,198.632,300,1
205.692,198.324,300,1
206.761,198.011,300,1
207.813,197.695,300,1
208.848,197.376,300,1
209.865,197.055,300,1
210.862,196.734,300,1
211.837,196.411,300,1
# --- Retract ---
261.837,146.411,0,0
176.837,159.426,0,0
176.370,160.341,300,1
175.898,161.278,300,1
175.424,162.237,300,1
174.947,163.216,300,1
174.468,164.215,300,1
173.989,165.232,300,1
173.509,166.266,300,1
173.029,167.317,300,1
172.550,168.384,300,1
172.073,169.465,300,1
171.598,170.560,300,1
171.127,171.668,300,1
170.659,172.788,300,1
170.195,173.918,300,1
169.737,175.059,300,1
169.284,176.208,300,1
168.838,177.365,300,1
168.399,178.529,300,1
167.968,179.700,300,1
167.545,180.875,300,1
167.132,182.055,300,1
166.728,183.238,300,1
166.335,184.423,300,1
